Company Names,Cars Names,Engines,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Performance(0 - 100 )KM/H,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
FERRARI,SF90 STRADALE,V8,3990 cc,963 hp,340 km/h,2.5 sec,plug in hyrbrid,2,800 Nm,"$1,100,000"
ROLLS ROYCE,PHANTOM,V12,6749 cc,563 hp,250 km/h,5.3 sec,Petrol,5,900 Nm,"$460,000"
Ford,KA+,1.2L Petrol,"1,200 cc",70-85 hp,165 km/h,10.5 sec,Petrol,5,100 - 140 Nm,"$12,000-$15,000 "
MERCEDES,GT 63 S,V8,"3,982 cc",630 hp,250 km/h,3.2 sec,Petrol,4,900 Nm,"$161,000"
AUDI,AUDI R8 Gt,V10,"5,204 cc",602 hp,320 km/h,3.6 sec,Petrol,2,560 Nm,"$253,290"
BMW,Mclaren 720s,V8,"3,994 cc",710 hp,341 km/h,2.9 sec,Petrol,2,770 Nm,"$499,000"
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656 hp,314 km/h,3.6 sec,Petrol,2,685 Nm,"$193,440"
BENTLEY,Continental GT Azure,V8,"3,996 cc",550 hp,318 km/h,4.0 sec,Petrol,4,900 Nm,"$311,000"
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750 hp,356 km/h,2.9 sec,Petrol,2,690 Nm,"$4,500,000"
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,Petrol,2,770 Nm,"$280,000"
FERRARI,812 GTS,V12,6496 cc,789 hp,340 km/h,2.9 sec,Petrol,2,718 Nm,"$350,000"
FRRARI,PORTOFINO,V8,"3,900 cc",592 hp,320 km/h,3.2 sec,Petrol,4,760 Nm,"$210,000"
FRRARI,ROMA,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,Petrol,4,760 Nm,"$230,000"
FRRARI,MONZA SP2,V12,"6,496 cc",789 hp,340 km/h,2.9 sec,Petrol,2,719 Nm,"$1,700,000"
FERRARI,F8 SPIDER,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,Petrol,2,770 Nm,"$280,000"
FERRARI,PORTOFINO M,V8,"3,900 cc",612 hp,320 km/h,3.2 sec,Petrol,4,760 Nm,"$220,000"
FERRARI,ROMA SPIDER,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,Petrol,4,760 Nm,"$240,000"
TOYOT,GR SUPRA,I4,"2,998 cc",382 hp,250 km/h,4.1 sec,Petrol,2,500 Nm,"$53,900"
TOYOT,TOYOTA 86,BOXER-4,"1,998 cc",205 hp,226 km/h,6.4 sec,Petrol,4,205 Nm,"$27,000"
TOYOT,TOYOTA  GR86,BOXER-4,"2,387 cc",228 hp,226 km/h,5.6 sec,Petrol,4,250 Nm,"$30,000"
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,Diesel,7,500 Nm,"$85,000"
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 cc",381 hp,200 km/h,6.9 sec,Petrol,7,651 Nm,"$50,000"
NISSAN,GT-R,V6,"3,799 cc",600 hp,315 km/h,2.9 sec,Petrol,4,637 Nm,"$113,000"
NISSAN,370Z,V6,"3,696 cc",332 hp,250 km/h,4.7 sec,Petrol,2,366 Nm,"$30,000"
NISSAN,Z PROTO,V6,"2,998 cc",400 hp,290 km/h,4.1 sec,Petrol,2,475 Nm,"$40,000"
NISSAN,ALTIMA,I4,"2,488 cc",188 hp,225 km/h,7.3 sec,Petrol,5,380 Nm,"$25,000"
NISSAN,MAXIMA,V6,"3,498 cc",300 hp,240 km/h,5.8 sec,Petrol,5,354 Nm,"$35,000"
NISSAN,SENTRA,I4,"1,998 cc",149 hp,200 km/h,8.2 sec,Petrol,5,240 Nm,"$20,000"
NISSAN,ROGUE,I4,"2,488 cc",201 hp,200 km/h,7.5 sec,Petrol,5,270 Nm,"$28,000"
NISSAN,PATHFINDER,V6,"3,498 cc",284 hp,225 km/h,6.5 sec,Petrol,7,351 Nm,"$35,000"
NISSAN,FRONTIER,V6,"3,799 cc",310 hp,180 km/h,6.8 sec,Petrol,5,381 Nm,"$30,000"
NISSAN,TITAN,V8,"5,598 cc",400 hp,200 km/h,5.9 sec,Petrol,5,560 Nm,"$40,000"
ASTON MARTIN,VALKYRIE,V12,"6,496 cc",1160 hp,402 km/h,2.5 sec,Hybrid,2,900 Nm,"$3,200,000"
ASTON MARTIN,VALHALLA,V8,"3,996 cc",1000 hp,362 km/h,2.5 sec,Hybrid,2,1000 Nm,"$1,100,000"
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 cc",715 hp,340 km/h,3.4 sec,Petrol,2,900 Nm,"$316,000"
ASTON MARTIN,DB11,V12,"5,204 cc",600 hp,322 km/h,3.9 sec,Petrol,4,700 Nm,"$208,000"
ASTON MARTIN,VANTAGE,V8,"3,996 cc",503 hp,313 km/h,3.6 sec,Petrol,2,685 Nm,"$142,000"
ASTON MARTIN,DBX,V8,"3,996 cc",542 hp,291 km/h,4.5 sec,Petrol,5,700 Nm,"$189,000"
ASTON MARTIN,RAPIDE AMR,V12,"5,935 cc",580 hp,328 km/h,4.2 sec,Petrol,4,630 Nm,"$240,000"
ASTON MARTIN,VANQUISH,V12,"5,935 cc",580 hp,324 km/h,3.6 sec,Petrol,2,630 Nm,"$294,000"
ASTON MARTIN,LAGONDA TARAF,V12,"5,935 cc",540 hp,314 km/h,4.2 sec,Petrol,4,630 Nm,"$1,100,000"
ASTON MARTIN,VICTOR,V12,"5,204 cc",836 hp,320 km/h,2.8 sec,Petrol,2,821 Nm,"$1,300,000"
LAMBORGHINI,SIAN,V12,"6,498 cc",819 hp,350 km/h,2.8 sec,Hybrid,2,720 Nm,"$2,800,000"
LAMBORGHINI,AVENTADOR SVJ,V12,"6,498 cc",759 hp,350 km/h,2.8 sec,Petrol,2,720 Nm,"$518,000"
LAMBORGHINI,HURACAN PERFORMANTE,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,Petrol,2,600 Nm,"$274,000"
LAMBORGHINI,HURACAN EVO,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,Petrol,2,600 Nm,"$261,000"
LAMBORGHINI,AVENTADOR SV,V12,"6,498 cc",740 hp,350 km/h,2.8 sec,Petrol,2,690 Nm,"$493,000"
LAMBORGHINI,URUS,V8,"3,996 cc",641 hp,305 km/h,3.6 sec,Petrol,5,850 Nm,"$211,000"
LAMBORGHINI,HURACAN SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.4 sec,Petrol,2,600 Nm,"$287,000"
LAMBORGHINI,AVENTADOR ROADSTER,V12,"6,498 cc",700 hp,350 km/h,3.0 sec,Petrol,2,690 Nm,"$445,000"
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,Petrol,2,600 Nm,"$308,000"
LAMBORGHINI,AVENTADOR S,V12,"6,498 cc",740 hp,350 km/h,2.9 sec,Petrol,2,690 Nm,"$421,000"
LAMBORGHINI,HURACAN EVO SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,Petrol,2,600 Nm,"$287,000"
LAMBORGHINI,URUS PERFORMANTE,V8,"3,996 cc",641 hp,305 km/h,3.3 sec,Petrol,5,850 Nm,"$242,000"
LAMBORGHINI,AVENTADOR ULTIMAE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,Petrol,2,720 Nm,"$545,000"
LAMBORGHINI,HURACAN EVO RWD,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,Petrol,2,560 Nm,"$258,000"
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,Petrol,2,720 Nm,"$573,000"
LAMBORGHINI,URUS S,V8,"3,996 cc",671 hp,305 km/h,3.3 sec,Petrol,5,850 Nm,"$263,000"
LAMBORGHINI,HURACAN STO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,Petrol,2,565 Nm,"$327,000"
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,Petrol,2,720 Nm,"$545,000"
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,Petrol,2,600 Nm,"$273,000"
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,Petrol,2,720 Nm,"$603,000"
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641 hp,305 km/h,3.3 sec,Petrol,5,850 Nm,"$253,000"
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,Petrol,2,565 Nm,"$342,000"
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,Petrol,2,720 Nm,"$573,000"
ROLLS ROYCE,GHOST,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,Petrol,5,850 Nm,"$332,000"
ROLLS ROYCE,WRAITH,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,Petrol,4,870 Nm,"$330,000"
ROLLS ROYCE,DAWN,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,Petrol,4,870 Nm,"$360,000"
ROLLS ROYCE,CULLINAN,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,Petrol,5,850 Nm,"$325,000"
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,Petrol,5,900 Nm,"$500,000"
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,Petrol,5,850 Nm,"$370,000"
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.3 sec,Petrol,4,870 Nm,"$360,000"
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.8 sec,Petrol,4,870 Nm,"$390,000"
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,Petrol,5,850 Nm,"$350,000"
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,Petrol,4,870 Nm,"$450,000"
ROLLS ROYCE,GHOST COUPE,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,Petrol,4,850 Nm,"$340,000"
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,Petrol,4,870 Nm,"$330,000"
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,Petrol,4,870 Nm,"$380,000"
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,Petrol,5,850 Nm,"$320,000"
MERCEDES,BENZ S-CLASS S 580,V8,"3,982 cc",496 hp,250 km/h,4.4 sec,Petrol,5,700 Nm,"$116,000"
MERCEDES,BENZ E-CLASS E 63 S,V8,"3,982 cc",603 hp,250 km/h,3.4 sec,Petrol,5,850 Nm,"$104,000"
MERCEDES,BENZ CLA 45 AMG,I4,1991 cc,382 hp,250 km/h,4.1 sec,Petrol,5,500 Nm,"$53,000"
MERCEDES,BENZ GLE 63 S,V8,"3,982 cc",603 hp,250 km/h,4.2 sec,Petrol,5,850 Nm,"$113,000"
MERCEDES,BENZ S-CLASS S 500,V6,"2,996 cc",429 hp,250 km/h,4.9 sec,Petrol,5,700 Nm,"$109,000"
MERCEDES,BENZ E-CLASS E 450,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,Petrol,5,500 Nm,"$62,000"
MERCEDES,BENZ CLS 450,V6,"2,996 cc",362 hp,250 km/h,5.2 sec,Petrol,5,500 Nm,"$70,000"
MERCEDES,BENZ GT 53,V6,"2,996 cc",429 hp,250 km/h,4.5 sec,Petrol,5,700 Nm,"$99,000"
MERCEDES,BENZ GLE 450,V6,"2,996 cc",362 hp,250 km/h,5.5 sec,Petrol,5,500 Nm,"$63,000"
MERCEDES,BENZ A-CLASS A 45 S,I4,"1,991 cc",416 hp,250 km/h,3.9 sec,Petrol,5,500 Nm,"$53,000"
MERCEDES,BENZ C-CLASS C 43,V6,"2,996 cc",402 hp,250 km/h,4.7 sec,Petrol,5,520 Nm,"$52,000"
MERCEDES,BENZ E-CLASS E 350,I4,"1,991 cc",255 hp,250 km/h,5.7 sec,Petrol,5,500 Nm,"$49,000"
