Company Names,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Acceleration_0_100_sec,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
Ferrari,3990.0,690.5,330.0,2.5,Plug-in Hybrid,5,800.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Ford,1200.0,77.5,165.0,10.5,Petrol,5,120.0,13500.0
Mercedes,3982.0,630.0,250.0,3.2,Petrol,5,900.0,124332.5
Audi,5204.0,602.0,320.0,3.6,Petrol,5,560.0,124332.5
BMW,3994.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Aston Martin,3982.0,656.0,314.0,3.6,Petrol,5,685.0,124332.5
Bentley,3996.0,550.0,318.0,4.0,Petrol,5,900.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.9,Petrol,5,690.0,124332.5
Ferrari,3900.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Ferrari,5603.0,690.5,330.0,2.9,Petrol,5,718.0,124332.5
Ferrari,3900.0,592.0,320.0,3.2,Petrol,5,760.0,124332.5
Ferrari,3900.0,612.0,320.0,3.4,Petrol,5,760.0,124332.5
Ferrari,5603.0,690.5,330.0,2.9,Petrol,5,719.0,124332.5
Ferrari,3900.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Ferrari,3900.0,612.0,320.0,3.2,Petrol,5,760.0,124332.5
Ferrari,3900.0,612.0,320.0,3.4,Petrol,5,760.0,124332.5
Toyota,2998.0,382.0,250.0,4.1,Petrol,5,500.0,53900.0
Toyota,1998.0,205.0,226.0,6.4,Petrol,5,205.0,27000.0
Toyota,2387.0,228.0,226.0,5.6,Petrol,5,250.0,30000.0
Toyota,5603.0,381.0,220.0,6.7,Diesel,5,500.0,85000.0
Toyota,5603.0,381.0,200.0,6.9,Petrol,5,651.0,50000.0
Nissan,3799.0,600.0,315.0,2.9,Petrol,5,637.0,113000.0
Nissan,3696.0,332.0,250.0,4.7,Petrol,5,366.0,30000.0
Nissan,2998.0,400.0,290.0,4.1,Petrol,5,475.0,40000.0
Nissan,2488.0,188.0,225.0,7.3,Petrol,5,380.0,25000.0
Nissan,3498.0,300.0,240.0,5.8,Petrol,5,354.0,35000.0
Nissan,1998.0,149.0,200.0,8.2,Petrol,5,240.0,20000.0
Nissan,2488.0,201.0,200.0,7.5,Petrol,5,270.0,28000.0
Nissan,3498.0,284.0,225.0,6.5,Petrol,5,351.0,35000.0
Nissan,3799.0,310.0,180.0,6.8,Petrol,5,381.0,30000.0
Nissan,5598.0,400.0,200.0,5.9,Petrol,5,560.0,40000.0
Aston Martin,5603.0,690.5,330.0,2.5,Hybrid,5,900.0,124332.5
Aston Martin,3996.0,690.5,330.0,2.5,Hybrid,5,930.0,124332.5
Aston Martin,5204.0,690.5,330.0,3.4,Petrol,5,900.0,124332.5
Aston Martin,5204.0,600.0,322.0,3.9,Petrol,5,700.0,124332.5
Aston Martin,3996.0,503.0,313.0,3.6,Petrol,5,685.0,124332.5
Aston Martin,3996.0,542.0,291.0,4.5,Petrol,5,700.0,124332.5
